('Total Revenue', '305,453,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         962078 function calls (937808 primitive calls) in 7.619 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4161    0.001    0.000    0.002    0.000 __init__.py:1068(handle_data)
     4311    0.001    0.000    0.001    0.000 _parser.py:293(tell)
      269    0.001    0.000    0.006    0.000 response.py:137(decompress)
     7048    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      759    0.001    0.000    0.004    0.000 filter.py:618(_attribute_match)
     8333    0.001    0.000    0.001    0.000 element.py:3090(descendants)
    13323    0.001    0.000    0.001    0.000 typing.py:2154(cast)
       17    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
     9239    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
        9    0.001    0.000    0.001    0.000 {built-in method _imp.exec_dynamic}
     6199    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
    217/3    0.001    0.000    0.505    0.168 <frozen importlib._bootstrap>:1349(_find_and_load)
      258    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:304(acquire)
     4191    0.001    0.000    0.001    0.000 __init__.py:290(can_be_empty_element)
      268    0.001    0.000    0.001    0.000 _compiler.py:386(_mk_bitmap)
     4515    0.001    0.000    0.001    0.000 {built-in method builtins.max}
      328    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
      904    0.001    0.000    0.001    0.000 _compiler.py:216(_compile_charset)
     3641    0.001    0.000    0.001    0.000 filter.py:259(_base_match)
      341    0.001    0.000    0.003    0.000 css_parser.py:1108(selector_iter)
    166/1    0.001    0.000    7.619    7.619 {built-in method builtins.exec}
       17    0.001    0.000    0.002    0.000 __init__.py:355(namedtuple)
       53    0.001    0.000    0.002    0.000 <frozen abc>:105(__new__)
    216/3    0.001    0.000    0.505    0.168 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      195    0.001    0.000    0.006    0.000 _compiler.py:511(_compile_info)
      258    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
     4483    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
     3712    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     1056    0.001    0.000    0.001    0.000 _parser.py:312(_class_escape)
      320    0.001    0.000    0.002    0.000 typing.py:175(_type_check)
     4063    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
       20    0.001    0.000    0.401    0.020 {method 'join' of 'bytes' objects}
       66    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
     4191    0.001    0.000    0.001    0.000 __init__.py:636(set_up_substitutions)
    56/16    0.001    0.000    0.011    0.001 css_parser.py:925(parse_selectors)
     1365    0.001    0.000    0.001    0.000 _parser.py:172(__setitem__)
      195    0.001    0.000    0.092    0.000 _compiler.py:740(compile)
      390    0.001    0.000    0.002    0.000 enum.py:1562(__and__)
     1470    0.001    0.000    0.002    0.000 filter.py:629(_match_attribute_value_helper)
     4646    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
      196    0.001    0.000    0.166    0.001 <frozen importlib._bootstrap_external>:1491(_get_spec)
      258    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
     4190    0.001    0.000    0.001    0.000 _markupbase.py:36(getpos)
      943    0.001    0.000    0.001    0.000 _parser.py:449(_uniq)
     1470    0.001    0.000    0.001    0.000 enum.py:1544(_get_value)
      897    0.001    0.000    0.001    0.000 typing.py:1188(__setattr__)
      355    0.001    0.000    1.638    0.005 ssl.py:1237(recv_into)
     2882    0.001    0.000    0.002    0.000 filter.py:292(matches_string)
     2922    0.000    0.000    0.001    0.000 {built-in method builtins.getattr}
      191    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      258    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
     3824    0.000    0.000    0.000    0.000 parser.py:128(clear_cdata_mode)
     3823    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       10    0.000    0.000    0.003    0.000 enum.py:919(_convert_)
    191/3    0.000    0.000    0.499    0.166 <frozen importlib._bootstrap>:911(_load_unlocked)
     2585    0.000    0.000    0.001    0.000 css_parser.py:317(match)
       21    0.000    0.000    1.085    0.052 __init__.py:1(<module>)
      355    0.000    0.000    1.639    0.005 socket.py:693(readinto)
      164    0.000    0.000    0.107    0.001 <frozen importlib._bootstrap_external>:1183(get_data)
      141    0.000    0.000    0.002    0.000 typing.py:1242(__init__)
      173    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
        1    0.000    0.000    0.000    0.000 __init__.py:286(LogRecord)
      195    0.000    0.000    0.056    0.000 _parser.py:969(parse)
     2315    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
       79    0.000    0.000    0.003    0.000 css_parser.py:472(parse_attribute_selector)
     1008    0.000    0.000    0.000    0.000 {built-in method fromkeys}
    440/6    0.000    0.000    0.495    0.083 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        1    0.000    0.000    7.619    7.619 financial.py:1(<module>)
      328    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     1003    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
      975    0.000    0.000    0.001    0.000 typing.py:1134(_is_dunder)
     1739    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
     1243    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
     1441    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
       17    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
      853    0.000    0.000    0.201    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
    164/3    0.000    0.000    0.499    0.166 <frozen importlib._bootstrap_external>:989(exec_module)
       15    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
     2960    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      359    0.000    0.000    0.000    0.000 enum.py:850(__setattr__)
      164    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      492    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      173    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
      269    0.000    0.000    0.400    0.001 response.py:1368(read_chunked)
     4208    0.000    0.000    0.000    0.000 element.py:2414(__bool__)
      174    0.000    0.000    0.002    0.000 _markupbase.py:165(parse_comment)
      195    0.000    0.000    0.035    0.000 _compiler.py:573(_code)
  191/187    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      509    0.000    0.000    0.001    0.000 enum.py:726(__call__)
