('Total Revenue', '305,453,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         980119 function calls (955508 primitive calls) in 2.875 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1676    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
     1517    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
     1512    0.000    0.000    0.000    0.000 _connection.py:224(their_state)
     1473    0.000    0.000    0.001    0.000 enum.py:1544(_get_value)
     1382    0.001    0.000    0.002    0.000 filter.py:629(_match_attribute_value_helper)
 1329/953    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
     1226    0.000    0.000    0.000    0.000 typing.py:1252(__eq__)
     1216    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
     1177    0.004    0.000    0.009    0.000 {method 'sub' of 're.Pattern' objects}
 1142/200    0.004    0.000    0.050    0.000 _parser.py:452(_parse_sub)
     1134    0.301    0.000    0.301    0.000 {built-in method posix.stat}
     1134    0.000    0.000    0.302    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     1123    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
     1123    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
     1034    0.001    0.000    0.001    0.000 _parser.py:172(__setitem__)
     1013    0.001    0.000    0.001    0.000 _parser.py:312(_class_escape)
      962    0.000    0.000    0.001    0.000 contextlib.py:299(helper)
      962    0.001    0.000    0.001    0.000 contextlib.py:104(__init__)
      962    0.000    0.000    0.001    0.000 contextlib.py:132(__enter__)
      961    0.000    0.000    0.001    0.000 contextlib.py:141(__exit__)
      954    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      944    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      888    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      888    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      874    0.000    0.000    0.000    0.000 typing.py:1246(<genexpr>)
      865    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      818    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
      800    0.000    0.000    0.000    0.000 element.py:2355(get)
      779    0.000    0.000    0.000    0.000 _parser.py:83(groups)
  773/766    0.007    0.000    0.055    0.000 {built-in method builtins.__build_class__}
      770    0.000    0.000    0.001    0.000 _parser.py:372(_escape)
      753    0.000    0.000    0.001    0.000 _parser.py:449(_uniq)
      730    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      725    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      713    0.001    0.000    0.004    0.000 filter.py:618(_attribute_match)
      713    0.000    0.000    0.000    0.000 filter.py:321(matches_tag)
      710    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
      708    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      696    0.001    0.000    0.001    0.000 _compiler.py:216(_compile_charset)
      696    0.004    0.000    0.006    0.000 _compiler.py:243(_optimize_charset)
      664    0.000    0.000    0.000    0.000 ssl.py:1083(_checkClosed)
      662    0.000    0.000    0.000    0.000 _receivebuffer.py:60(__len__)
      638    0.000    0.000    0.001    0.000 {method 'extend' of 'list' objects}
      611    0.001    0.000    0.003    0.000 _connection.py:410(_extract_next_receive_event)
      611    0.001    0.000    0.006    0.000 _connection.py:438(next_event)
   607/10    0.000    0.000    0.684    0.068 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      600    0.000    0.000    0.001    0.000 typing.py:166(_type_convert)
      590    0.000    0.000    0.000    0.000 _receivebuffer.py:77(maybe_extract_at_most)
      589    0.000    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
      576    0.000    0.000    0.000    0.000 enum.py:850(__setattr__)
  567/566    0.001    0.000    0.001    0.000 _readers.py:156(__call__)
      554    0.000    0.000    0.000    0.000 _decoders.py:237(decode)
  547/340    0.000    0.000    0.000    0.000 typing.py:1258(__hash__)
      538    0.001    0.000    0.003    0.000 typing.py:175(_type_check)
      521    0.000    0.000    0.000    0.000 enum.py:1129(__new__)
      521    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
      521    0.000    0.000    0.001    0.000 enum.py:726(__call__)
      509    0.003    0.000    0.222    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
      509    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      499    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      496    0.002    0.000    0.002    0.000 css_types.py:41(__init__)
      495    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
      495    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
      484    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
      483    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      482    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:632(cached)
      472    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
      472    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      470    0.000    0.000    0.000    0.000 typing.py:1565(__eq__)
      453    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      447    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      446    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
      444    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      444    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      444    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
      444    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:304(acquire)
      444    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      444    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:162(__enter__)
      444    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
      444    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:124(setdefault)
      444    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      444    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      444    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
      440    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
      439    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      438    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      437    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      433    0.000    0.000    0.000    0.000 typing.py:935(__eq__)
      428    0.000    0.000    0.000    0.000 enum.py:1185(__init__)
      421    0.000    0.000    0.000    0.000 _parser.py:265(getwhile)
      400    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
      400    0.001    0.000    0.002    0.000 enum.py:1562(__and__)
      386    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      369    0.000    0.000    0.001    0.000 typing.py:723(<genexpr>)
      361    0.000    0.000    0.123    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      347    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      342    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
      341    0.001    0.000    0.003    0.000 css_parser.py:1108(selector_iter)
      337    0.000    0.000    0.000    0.000 {method 'settimeout' of '_socket.socket' objects}
      335    0.002    0.000    0.086    0.000 __init__.py:280(_compile)
      333    0.000    0.000    0.114    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
    332/1    0.006    0.000    2.875    2.875 {built-in method builtins.exec}
      331    0.000    0.000    1.692    0.005 ssl.py:1095(read)
      331    0.000    0.000    0.000    0.000 _connection.py:364(receive_data)
      331    0.000    0.000    0.000    0.000 _receivebuffer.py:53(__iadd__)
      331    0.000    0.000    0.000    0.000 _receivebuffer.py:57(__bool__)
      331    0.001    0.000    1.694    0.005 sync.py:124(read)
      331    1.692    0.005    1.692    0.005 {method 'read' of '_ssl._SSLSocket' objects}
      331    0.000    0.000    1.693    0.005 ssl.py:1226(recv)
      325    0.000    0.000    0.000    0.000 css_parser.py:312(get_name)
      322    0.000    0.000    0.000    0.000 css_parser.py:248(css_unescape)
      322    0.000    0.000    0.086    0.000 __init__.py:226(compile)
      318    0.000    0.000    0.000    0.000 _receivebuffer.py:67(_extract)
      315    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      311    0.000    0.000    0.000    0.000 enum.py:241(__set_name__)
      311    0.000    0.000    0.000    0.000 types.py:192(__init__)
      300    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      298    0.000    0.000    0.000    0.000 dataclasses.py:461(<genexpr>)
    297/6    0.001    0.000    0.702    0.117 <frozen importlib._bootstrap>:1349(_find_and_load)
      297    0.000    0.000    0.002    0.000 typing.py:1147(__init__)
    296/5    0.001    0.000    0.701    0.140 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      296    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
      296    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:416(__enter__)
      296    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
      296    0.000    0.000    0.000    0.000 _connection.py:217(our_state)
      295    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
      293    0.001    0.000    0.005    0.000 typing.py:1242(__init__)
      292    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
      292    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
      290    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      290    0.002    0.000    0.246    0.001 <frozen importlib._bootstrap>:1240(_find_spec)
      290    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
      290    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
      290    0.000    0.000    0.000    0.000 _virtualenv.py:53(find_spec)
      288    0.000    0.000    0.000    0.000 _connection.py:342(_respond_to_state_changes)
      288    0.000    0.000    0.000    0.000 _state.py:299(_fire_event_triggered_transitions)
      286    0.001    0.000    0.002    0.000 _connection.py:272(_process_event)
      286    0.000    0.000    0.000    0.000 _state.py:316(_fire_state_triggered_transitions)
      286    0.000    0.000    0.001    0.000 _state.py:275(process_event)
      285    0.000    0.000    0.000    0.000 css_parser.py:344(match)
      280    0.001    0.000    1.703    0.006 http11.py:209(_receive_event)
      280    0.000    0.000    0.000    0.000 _connection.py:260(_server_switch_event)
      278    0.000    0.000    0.362    0.001 _models.py:935(iter_raw)
      278    0.000    0.000    0.368    0.001 _models.py:884(iter_bytes)
      278    0.000    0.000    0.362    0.001 http11.py:196(_receive_response_body)
      278    0.000    0.000    0.362    0.001 http11.py:330(__iter__)
      278    0.000    0.000    0.362    0.001 connection_pool.py:401(__iter__)
      278    0.000    0.000    0.000    0.000 _events.py:299(__init__)
      278    0.000    0.000    0.362    0.001 default.py:125(__iter__)
      278    0.000    0.000    0.362    0.001 _client.py:152(__iter__)
      274    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
      274    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      272    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      272    0.005    0.000    0.005    0.000 {method 'decompress' of 'zlib.Decompress' objects}
      272    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      272    0.000    0.000    0.005    0.000 _decoders.py:95(decode)
      271    0.000    0.000    0.242    0.001 <frozen importlib._bootstrap_external>:1520(find_spec)
      271    0.001    0.000    0.242    0.001 <frozen importlib._bootstrap_external>:1491(_get_spec)
    265/5    0.001    0.000    0.691    0.138 <frozen importlib._bootstrap>:911(_load_unlocked)
  265/262    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      265    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      265    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
      261    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
      261    0.000    0.000    0.002    0.000 typing_extensions.py:3228(_collect_parameters)
      261    0.000    0.000    0.000    0.000 typing_extensions.py:3143(_has_generic_or_protocol_as_origin)
      249    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
      246    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
      246    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
      246    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
      246    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
      243    0.000    0.000    0.000    0.000 _models.py:166(encoding)
      242    0.000    0.000    0.000    0.000 typing.py:1178(__getattr__)
  237/231    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
      237    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      236    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      236    0.015    0.000    0.015    0.000 {built-in method marshal.loads}
      236    0.093    0.000    0.093    0.000 {built-in method _io.open_code}
      236    0.039    0.000    0.039    0.000 {method '__exit__' of '_io._IOBase' objects}
      236    0.039    0.000    0.039    0.000 {method 'read' of '_io.BufferedReader' objects}
      236    0.000    0.000    0.086    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
      236    0.001    0.000    0.172    0.001 <frozen importlib._bootstrap_external>:1183(get_data)
      236    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1178(get_filename)
      236    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1153(__init__)
      236    0.002    0.000    0.279    0.001 <frozen importlib._bootstrap_external>:1062(get_code)
    236/5    0.000    0.000    0.691    0.138 <frozen importlib._bootstrap_external>:989(exec_module)
      236    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:986(create_module)
      236    0.002    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
      236    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
      236    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
  225/156    0.000    0.000    0.000    0.000 typing.py:1573(__hash__)
      224    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1573(<genexpr>)
      221    0.000    0.000    0.001    0.000 typing.py:1454(<genexpr>)
  220/180    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
      211    0.000    0.000    0.000    0.000 typing.py:2310(get_origin)
      206    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
      206    0.000    0.000    0.000    0.000 typing_extensions.py:3165(_is_unpacked_typevartuple)
      202    0.000    0.000    0.000    0.000 _models.py:19(enforce_bytes)
      200    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      200    0.000    0.000    0.051    0.000 _parser.py:969(parse)
      200    0.001    0.000    0.006    0.000 _compiler.py:511(_compile_info)
      200    0.001    0.000    0.082    0.000 _compiler.py:740(compile)
      200    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
      200    0.000    0.000    0.031    0.000 _compiler.py:573(_code)
      200    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
      200    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
      199    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      198    0.000    0.000    0.000    0.000 enum.py:785(__delattr__)
      190    0.000    0.000    0.000    0.000 enum.py:467(<genexpr>)
      186    0.000    0.000    0.006    0.000 _parser.py:98(closegroup)
      186    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
      180    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      179    0.001    0.000    0.001    0.000 enum.py:390(__setitem__)
      179    0.000    0.000    0.000    0.000 enum.py:70(_is_internal_class)
      177    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      171    0.000    0.000    0.000    0.000 enum.py:202(__get__)
      171    0.000    0.000    0.000    0.000 enum.py:942(<lambda>)
      170    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      170    0.000    0.000    0.002    0.000 _htmlparser.py:269(handle_comment)
      170    0.000    0.000    0.002    0.000 _markupbase.py:165(parse_comment)
      166    0.000    0.000    0.000    0.000 {method 'lower' of 'bytes' objects}
      162    0.000    0.000    0.000    0.000 enum.py:1292(value)
      154    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
  154/100    0.000    0.000    0.148    0.001 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      148    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
      147    0.000    0.000    0.000    0.000 dataclasses.py:701(_is_type)
  146/107    0.000    0.000    0.004    0.000 typing.py:508(__getitem__)
      142    0.000    0.000    0.000    0.000 css_parser.py:369(__init__)
  142/137    0.000    0.000    0.002    0.000 css_parser.py:395(freeze)
