Sat Feb  7 17:53:32 2026    profile_http.prof

         415863 function calls (393293 primitive calls) in 0.492 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4048    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
    185/1    0.000    0.000    0.492    0.492 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      219    0.000    0.000    0.001    0.000 /usr/lib/python3.12/enum.py:390(__setitem__)
      126    0.000    0.000    0.001    0.000 /usr/lib/python3.12/re/_compiler.py:386(_mk_bitmap)
     3450    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      772    0.000    0.000    0.001    0.000 /usr/lib/python3.12/re/_parser.py:372(_escape)
     2860    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
     1393    0.000    0.000    0.001    0.000 /usr/lib/python3.12/typing.py:1134(_is_dunder)
       10    0.000    0.000    0.003    0.000 /usr/lib/python3.12/enum.py:919(_convert_)
      646    0.000    0.000    0.001    0.000 /usr/lib/python3.12/enum.py:850(__setattr__)
        1    0.000    0.000    0.000    0.000 {built-in method posix.open}
     1419    0.000    0.000    0.001    0.000 /usr/lib/python3.12/enum.py:1544(_get_value)
      751    0.000    0.000    0.001    0.000 /usr/lib/python3.12/re/_parser.py:449(_uniq)
      234    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
     3374    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
      166    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
     2585    0.000    0.000    0.001    0.000 /mnt/d/School21/Projects/Data Science/DSB4_Package_management.ID_1577671-1/src/ex00/melaniwi/lib/python3.12/site-packages/soupsieve/css_parser.py:317(match)
      162    0.000    0.000    0.002    0.000 /usr/lib/python3.12/typing.py:1242(__init__)
    166/1    0.000    0.000    0.492    0.492 <frozen importlib._bootstrap>:911(_load_unlocked)
      160    0.000    0.000    0.173    0.001 <frozen importlib._bootstrap_external>:1491(_get_spec)
       34    0.000    0.000    0.003    0.000 /usr/lib/python3.12/enum.py:528(__new__)
      234    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
      193    0.000    0.000    0.049    0.000 /usr/lib/python3.12/re/_parser.py:969(parse)
       79    0.000    0.000    0.004    0.000 /mnt/d/School21/Projects/Data Science/DSB4_Package_management.ID_1577671-1/src/ex00/melaniwi/lib/python3.12/site-packages/soupsieve/css_parser.py:472(parse_attribute_selector)
       22    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
     2115    0.000    0.000    0.001    0.000 {built-in method builtins.hasattr}
     1661    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      136    0.000    0.000    0.094    0.001 <frozen importlib._bootstrap_external>:1183(get_data)
      815    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      143    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
       34    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
     1239    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
       18    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
      693    0.000    0.000    0.001    0.000 /usr/lib/python3.12/re/_compiler.py:398(_simple)
